City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
sorsk,-2.92,104.75,87.62,87.62,61,4,3.49
souillac,42.16,-72.33,18.75,21.99,85,90,7.76
srandakan,42.16,-72.33,18.81,21.2,85,90,7.76
srednekolymsk,-18.53,25.63,69.75,69.75,73,100,5.39
suez,-19.8,-174.35,80.37,80.37,81,79,18.66
suoyarvi,66.15,-65.71,-23.8,-23.8,74,20,5.82
sur,16.78,94.73,78.94,78.94,38,0,4.41
susangerd,-15.46,-39.65,68.05,68.05,98,12,0.63
tabou,50.32,-122.8,15.31,17.01,85,90,3.69
tabuk,50.32,-122.8,15.46,17.01,85,90,3.69
tadine,53.05,158.65,3.2,3.2,77,20,6.71
taft,53.05,158.65,5,5,77,20,6.71
tagusao,8,98.25,82.4,82.4,69,20,8.05
tahoua,44.37,-100.35,6.42,6.8,65,1,10.29
takoradi,44.37,-100.35,6.4,6.8,65,1,10.29
tamsweg,35.54,106.69,24.96,24.96,47,100,2.33
tarauaca,-13.7,-76.22,70.88,71.6,83,90,14.99
tarko-sale,-13.7,-76.22,70.84,71.6,83,90,14.99
tashtyp,15.74,-96.47,82.76,84.2,54,75,11.41
tasiilaq,15.74,-96.47,82.42,84.2,54,75,11.41
tautira,37.73,-25.67,64.4,64.4,93,75,10.29
tezu,32.67,-17.1,58.6,62.6,67,20,11.41
thinadhoo,32.67,-17.1,58.8,62.6,67,20,12.75
thompson,-33.59,26.89,66,66,82,100,4
tigil,-33.59,26.89,66,66,81,100,4
tignere,11.67,92.75,80.91,80.91,76,0,12.88
tiksi,-33.92,25.57,62.6,62.6,88,75,1.12
tirumullaivasal,50.7,-127.42,41,41,93,90,24.16
tobermory,-14.25,129.55,90.61,90.61,61,0,10.85
tokmak,-34.73,135.87,68.04,68.04,57,17,17.09
torbat-e jam,-31.43,152.92,75.45,80.01,94,90,4.7
torbay,-31.43,152.92,75.7,80.01,94,75,4.7
touros,-9.44,147.18,89.6,89.6,66,40,17.22
trebisacce,45.52,-122.68,44.78,51.01,81,90,4.7
troitsko-pechorsk,45.52,-122.68,44.6,50,86,75,10.29
tual,6.5,2.6,80.6,80.6,94,20,2.24
tuatapere,-21.13,164.9,79.32,79.32,66,96,6.69
tuktoyaktuk,-20.23,164.02,79.39,79.39,80,0,19.39
tyukhtet,11.82,99.78,81.48,81.48,69,0,0.83
ucluelet,38.73,-27.07,64.4,64.4,93,75,21.32
ulaanbaatar,39.6,-110.81,21.83,25,67,1,2.84
ullapool,39.6,-110.81,22.68,24.01,67,1,2.84
umm kaddadah,54.32,-130.32,35.6,35.6,93,90,16.11
umm lajj,44.87,17.66,30.2,30.2,100,90,2.24
upernavik,64.38,-173.3,-7.82,-7.82,97,0,5.32
urumqi,38.25,-104.61,29.44,34,34,1,10.29
ushuaia,38.25,-104.61,29.28,33.8,43,1,6.93
ust-koksa,5.66,-67.62,74.73,74.73,90,29,1.83
vaini,-0.74,-90.35,78.87,82.4,69,75,5.82
vallenar,-0.74,-90.35,77,77,62,91,1.01
vao,14.04,-83.39,74.62,74.62,87,0,5.57
vardo,-53.15,-70.92,51.44,51.8,66,75,16.11
velke bilovice,-53.15,-70.92,51.42,51.8,66,75,16.11
velsk,77.48,-69.36,-16.24,-16.24,61,59,5.28
victoria,60.72,-46.03,37.4,37.4,32,100,13.87
vila,30.41,55.99,47.43,47.43,46,100,3.6
vila franca do campo,47.67,-122.12,45.63,50,75,90,4.7
vila velha,-23.32,17.08,66.09,66.09,41,0,5.21
villeneuve-sur-lot,47.48,10.72,31.57,33.01,94,75,1.12
visby,47.48,10.72,31.3,33.01,94,100,2.24
vostochnyy,38.52,-28.7,61.57,61.57,92,60,15.43
vostok,-28.78,32.04,78.48,78.48,77,100,32.97
vysokogornyy,-23.12,-134.97,78.08,78.08,81,0,14.03
vytegra,-32.03,-52.1,71.01,71.01,83,51,14.79
wadi maliz,-32.03,-52.1,71.01,71.01,84,51,14.79
waipawa,15.07,-89.58,64.69,64.69,96,1,3.51
walvis bay,24.69,46.72,53.6,53.6,58,65,2.24
wanaka,18.42,-64.62,75.29,75.99,83,75,12.75
wanning,-34.48,-54.33,63.21,63.21,66,6,6.11
wattegama,-23.38,150.5,95,95,41,52,8.05
westport,-23.38,150.5,95,95,34,40,8.05
wexford,43.21,-75.46,25.68,32,100,90,11.41
whithorn,43.21,-75.46,25.79,33.01,92,90,10.29
willowmore,-8.61,120.47,83.84,83.84,57,33,5.26
wilmington,57.33,10.52,39,39,91,0,3
xinglongshan,57.33,10.52,39,39,91,0,1.99
yakeshi,45.02,-93.22,1.78,5,70,1,16.11
yantal,45.02,-93.22,1.45,3.99,71,1,10.29
yar-sale,29.89,-81.31,65.41,68,72,1,6.15
yavatmal,37.1,-113.58,44.28,46.4,33,1,4.7
yellowknife,37.1,-113.58,40.98,46.4,38,1,3.62
yendi,51.23,-58.65,-4.25,-4.25,82,0,12.91
yerbogachen,46.42,3.91,30.9,39,92,100,2.24
yondo,-21.37,55.62,77.09,80.6,74,100,5.82
yulara,-21.37,55.62,77.32,80.6,74,100,3.36
yumen,-21.36,55.77,77.13,80.6,74,100,5.82
zalantun,-21.36,55.77,77.27,80.6,74,100,3.36
zandvoort,-21.34,55.48,77.16,80.6,74,100,5.82
zeya,-21.34,55.48,77.38,80.6,74,100,3.36
zhangye,17.02,54.09,71.6,71.6,60,40,4.7
zhengjiatun,-33.01,17.94,62.6,62.6,72,100,12.75
zhigansk,-10.62,150.67,91.08,91.08,50,9,9.64
znamenskoye,7.76,-73.39,82.02,82.02,57,91,6.93
zyryanovsk,29.42,-98.49,59.59,62.6,48,1,12.75
